quarter,flat_type,no_of_resale_applications
2011-Q3,3-room,1796
2011-Q3,4-room,2118
2011-Q3,5-room,1415
2011-Q3,Executive,458
2011-Q4,1-room,3
2011-Q4,2-room,86
2011-Q4,3-room,1712
2011-Q4,4-room,2224
2011-Q4,5-room,1412
2011-Q4,Executive,484
2012-Q1,1-room,3
2012-Q1,2-room,100
2012-Q1,3-room,1756
2012-Q1,4-room,2226
2012-Q1,5-room,1370
2012-Q1,Executive,437
2012-Q2,1-room,1
2012-Q2,2-room,139
2012-Q2,3-room,1974
2012-Q2,4-room,2676
2012-Q2,5-room,1594
2012-Q2,Executive,627
2012-Q3,1-room,11
2012-Q3,2-room,146
2012-Q3,3-room,1848
2012-Q3,4-room,2419
2012-Q3,5-room,1558
2012-Q3,Executive,578
2012-Q4,1-room,2
2012-Q4,2-room,123
2012-Q4,3-room,1593
2012-Q4,4-room,2129
2012-Q4,5-room,1288
2012-Q4,Executive,496
2013-Q1,1-room,1
2013-Q1,2-room,159
2013-Q1,3-room,1362
2013-Q1,4-room,1523
2013-Q1,5-room,962
2013-Q1,Executive,328
2013-Q2,1-room,3
2013-Q2,2-room,185
2013-Q2,3-room,1640
2013-Q2,4-room,1922
2013-Q2,5-room,1070
2013-Q2,Executive,415
2013-Q3,1-room,2
2013-Q3,2-room,172
2013-Q3,3-room,1377
2013-Q3,4-room,1670
2013-Q3,5-room,969
2013-Q3,Executive,339
2013-Q4,1-room,1
2013-Q4,2-room,132
2013-Q4,3-room,1251
2013-Q4,4-room,1524
2013-Q4,5-room,784
2013-Q4,Executive,309
2014-Q1,1-room,4
2014-Q1,2-room,92
2014-Q1,3-room,1285
2014-Q1,4-room,1444
2014-Q1,5-room,726
2014-Q1,Executive,230
2014-Q2,1-room,3
2014-Q2,2-room,119
2014-Q2,3-room,1411
2014-Q2,4-room,1669
2014-Q2,5-room,913
2014-Q2,Executive,274
2014-Q3,1-room,4
2014-Q3,2-room,94
2014-Q3,3-room,1416
2014-Q3,4-room,1735
2014-Q3,5-room,960
2014-Q3,Executive,304
2014-Q4,1-room,10
2014-Q4,2-room,118
2014-Q4,3-room,1398
2014-Q4,4-room,1779
2014-Q4,5-room,1024
2014-Q4,Executive,306
2015-Q1,1-room,2
2015-Q1,2-room,77
2015-Q1,3-room,1247
2015-Q1,4-room,1608
2015-Q1,5-room,925
2015-Q1,Executive,276
2015-Q2,1-room,3
2015-Q2,2-room,78
2015-Q2,3-room,1518
2015-Q2,4-room,2120
2015-Q2,5-room,1210
2015-Q2,Executive,357
2015-Q3,1-room,2
2015-Q3,2-room,80
2015-Q3,3-room,1374
2015-Q3,4-room,1935
2015-Q3,5-room,1140
2015-Q3,Executive,362
2015-Q4,1-room,3
2015-Q4,2-room,82
2015-Q4,3-room,1399
2015-Q4,4-room,1993
2015-Q4,5-room,1113
2015-Q4,Executive,402
2016-Q1,1-room,1
2016-Q1,2-room,51
2016-Q1,3-room,1220
2016-Q1,4-room,1809
2016-Q1,5-room,1023
2016-Q1,Executive,345
2016-Q2,1-room,3
2016-Q2,2-room,72
2016-Q2,3-room,1500
2016-Q2,4-room,2473
2016-Q2,5-room,1369
2016-Q2,Executive,421
2016-Q3,1-room,1
2016-Q3,2-room,74
2016-Q3,3-room,1473
2016-Q3,4-room,2250
2016-Q3,5-room,1283
2016-Q3,Executive,433
2016-Q4,1-room,1
2016-Q4,2-room,69
2016-Q4,3-room,1326
2016-Q4,4-room,2071
2016-Q4,5-room,1186
2016-Q4,Executive,359
2017-Q1,1-room,2
2017-Q1,2-room,64
2017-Q1,3-room,1210
2017-Q1,4-room,1857
2017-Q1,5-room,1055
2017-Q1,Executive,342
2017-Q2,1-room,1
2017-Q2,2-room,100
2017-Q2,3-room,1519
2017-Q2,4-room,2529
2017-Q2,5-room,1407
2017-Q2,Executive,445
2017-Q3,1-room,5
2017-Q3,2-room,96
2017-Q3,3-room,1400
2017-Q3,4-room,2447
2017-Q3,5-room,1428
2017-Q3,Executive,432
2017-Q4,1-room,2
2017-Q4,2-room,71
2017-Q4,3-room,1414
2017-Q4,4-room,2368
2017-Q4,5-room,1403
2017-Q4,Executive,480
2018-Q1,1-room,2
2018-Q1,2-room,66
2018-Q1,3-room,1046
2018-Q1,4-room,1810
2018-Q1,5-room,1111
2018-Q1,Executive,423
2018-Q2,1-room,3
2018-Q2,2-room,102
2018-Q2,3-room,1382
2018-Q2,4-room,2372
2018-Q2,5-room,1559
2018-Q2,Executive,523
2018-Q3,1-room,3
2018-Q3,2-room,121
2018-Q3,3-room,1704
2018-Q3,4-room,2828
2018-Q3,5-room,1797
2018-Q3,Executive,610
2018-Q4,1-room,2
2018-Q4,2-room,82
2018-Q4,3-room,1408
2018-Q4,4-room,2394
2018-Q4,5-room,1350
2018-Q4,Executive,401
2019-Q1,1-room,6
2019-Q1,2-room,87
2019-Q1,3-room,1225
2019-Q1,4-room,2032
2019-Q1,5-room,1148
2019-Q1,Executive,337
2019-Q2,1-room,4
2019-Q2,2-room,97
2019-Q2,3-room,1532
2019-Q2,4-room,2652
2019-Q2,5-room,1520
2019-Q2,Executive,471
2019-Q3,1-room,1
2019-Q3,2-room,139
2019-Q3,3-room,1540
2019-Q3,4-room,2553
2019-Q3,5-room,1547
2019-Q3,Executive,484
2019-Q4,1-room,0
2019-Q4,2-room,128
2019-Q4,3-room,1576
2019-Q4,4-room,2659
2019-Q4,5-room,1519
2019-Q4,Executive,457
2020-Q1,1-room,3
2020-Q1,2-room,153
2020-Q1,3-room,1375
2020-Q1,4-room,2537
2020-Q1,5-room,1419
2020-Q1,Executive,406
2020-Q2,1-room,3
2020-Q2,2-room,64
2020-Q2,3-room,877
2020-Q2,4-room,1374
2020-Q2,5-room,845
2020-Q2,Executive,263
2020-Q3,1-room,2
2020-Q3,2-room,155
2020-Q3,3-room,1835
2020-Q3,4-room,3211
2020-Q3,5-room,1954
2020-Q3,Executive,630
2020-Q4,1-room,3
2020-Q4,2-room,110
2020-Q4,3-room,1683
2020-Q4,4-room,3139
2020-Q4,5-room,2047
2020-Q4,Executive,660
2021-Q1,1-room,5
2021-Q1,2-room,111
2021-Q1,3-room,1677
2021-Q1,4-room,3217
2021-Q1,5-room,1996
2021-Q1,Executive,575
2021-Q2,1-room,4
2021-Q2,2-room,103
2021-Q2,3-room,1484
2021-Q2,4-room,3078
2021-Q2,5-room,1866
2021-Q2,Executive,528
2021-Q3,1-room,2
2021-Q3,2-room,118
2021-Q3,3-room,1831
2021-Q3,4-room,3593
2021-Q3,5-room,2268
2021-Q3,Executive,621
2021-Q4,1-room,0
2021-Q4,2-room,114
2021-Q4,3-room,1785
2021-Q4,4-room,3347
2021-Q4,5-room,2085
2021-Q4,Executive,609
2022-Q1,1-room,2
2022-Q1,2-room,111
2022-Q1,3-room,1647
2022-Q1,4-room,2954
2022-Q1,5-room,1731
2022-Q1,Executive,489
2022-Q2,1-room,4
2022-Q2,2-room,111
2022-Q2,3-room,1558
2022-Q2,4-room,2909
2022-Q2,5-room,1762
2022-Q2,Executive,475
2022-Q3,1-room,3
2022-Q3,2-room,141
2022-Q3,3-room,1790
2022-Q3,4-room,3147
2022-Q3,5-room,1913
2022-Q3,Executive,552
2022-Q4,1-room,2
2022-Q4,2-room,141
2022-Q4,3-room,1637
2022-Q4,4-room,2842
2022-Q4,5-room,1545
2022-Q4,Executive,430
2023-Q1,1-room,1
2023-Q1,2-room,196
2023-Q1,3-room,1847
2023-Q1,4-room,2956
2023-Q1,5-room,1565
2023-Q1,Executive,414
2023-Q2,1-room,2
2023-Q2,2-room,156
2023-Q2,3-room,1511
2023-Q2,4-room,2970
2023-Q2,5-room,1518
2023-Q2,Executive,357
2023-Q3,1-room,0
2023-Q3,2-room,188
2023-Q3,3-room,1653
2023-Q3,4-room,2932
2023-Q3,5-room,1532
2023-Q3,Executive,390
2023-Q4,1-room,3
2023-Q4,2-room,189
2023-Q4,3-room,1633
2023-Q4,4-room,2901
2023-Q4,5-room,1435
2023-Q4,Executive,386
